,Symbol,Low,Open,Price,Volume,High,Change,Date
6,GUARANTY,38.65,40.5,38.65,0,40.55,-1.85,6/1/2018
7,GUARANTY,40.0,41.0,40.5,0,41.05,-0.5,5/31/2018
8,GUARANTY,40.85,42.95,41.0,0,41.5,-1.95,5/30/2018
9,GUARANTY,40.9,43.0,41.0,0,41.8,-2.0,5/28/2018
0,GUARANTY,41.0,42.8,41.95,0,43.5,-0.85,5/25/2018
1,GUARANTY,42.8,43.5,42.8,0,43.5,-0.7,5/24/2018
2,GUARANTY,43.25,43.4,43.5,0,43.5,0.1,5/23/2018
3,GUARANTY,43.35,43.95,43.4,0,43.5,-0.55,5/22/2018
4,GUARANTY,43.05,44.0,43.5,0,44.0,-0.5,5/21/2018
5,GUARANTY,43.75,44.05,44.0,0,44.05,-0.05,5/18/2018
6,GUARANTY,44.0,44.25,44.05,0,44.05,-0.2,5/17/2018
7,GUARANTY,43.2,44.1,44.0,0,44.1,-0.1,5/16/2018
8,GUARANTY,44.0,44.3,44.0,0,44.3,-0.3,5/15/2018
9,GUARANTY,44.25,44.25,44.3,0,44.3,0.05,5/14/2018
0,GUARANTY,44.15,44.5,44.25,0,44.5,-0.25,5/11/2018
1,GUARANTY,44.5,45.0,44.5,0,45.05,-0.5,5/10/2018
2,GUARANTY,44.2,45.65,45.0,0,45.5,-0.65,5/9/2018
3,GUARANTY,45.25,45.05,45.65,0,45.65,0.6,5/8/2018
4,GUARANTY,45.05,45.3,45.05,0,45.35,-0.25,5/7/2018
5,GUARANTY,45.1,45.2,45.3,0,45.35,0.1,5/4/2018
6,GUARANTY,44.8,44.95,45.2,0,45.2,0.25,5/3/2018
7,GUARANTY,44.6,44.1,44.95,0,45.0,0.85,5/2/2018
8,GUARANTY,44.35,45.65,45.0,0,45.0,-0.65,4/30/2018
9,GUARANTY,44.0,44.0,44.35,0,45.0,0.35,4/27/2018
0,GUARANTY,43.75,43.7,43.75,0,44.1,0.05,4/26/2018
1,GUARANTY,43.3,43.45,43.7,0,43.85,0.25,4/25/2018
2,GUARANTY,43.0,43.9,43.45,0,43.95,-0.45,4/24/2018
3,GUARANTY,43.9,44.85,43.9,0,43.9,-0.95,4/23/2018
4,GUARANTY,43.9,44.9,44.85,0,44.85,-0.05,4/20/2018
5,GUARANTY,43.85,44.35,44.0,0,44.0,-0.35,4/19/2018
6,GUARANTY,44.25,45.7,44.35,0,44.35,-1.35,4/18/2018
7,GUARANTY,43.95,45.7,44.1,0,45.45,-1.6,4/17/2018
8,GUARANTY,43.3,44.05,43.95,0,44.0,-0.1,4/16/2018
9,GUARANTY,43.0,43.0,44.05,0,44.5,1.05,4/13/2018
0,GUARANTY,42.8,43.0,43.0,0,43.0,0.0,4/12/2018
1,GUARANTY,42.9,43.0,43.0,0,43.0,0.0,4/11/2018
2,GUARANTY,42.2,43.5,43.0,0,43.6,-0.5,4/10/2018
3,GUARANTY,43.0,44.5,43.5,0,44.1,-1.0,4/9/2018
4,GUARANTY,44.1,44.1,44.1,0,44.1,0.0,4/6/2018
5,GUARANTY,44.0,44.3,44.1,0,44.3,-0.2,4/5/2018
6,GUARANTY,43.2,43.4,44.3,0,44.3,0.9,4/4/2018
7,GUARANTY,42.6,44.7,43.4,0,44.7,-1.3,4/3/2018
8,GUARANTY,41.0,42.75,44.7,0,44.7,1.95,3/29/2018
9,GUARANTY,42.75,45.0,42.75,0,43.75,-2.25,3/28/2018
0,GUARANTY,46.0,46.0,46.0,0,46.55,0.0,3/27/2018
1,GUARANTY,45.3,46.9,45.3,0,47.95,-1.6,3/26/2018
2,GUARANTY,45.7,44.95,46.9,0,46.9,1.95,3/23/2018
3,GUARANTY,44.6,44.65,44.95,0,45.65,0.3,3/22/2018
